순번,법령MST,소관부처코드,소관부처명,법령ID,법령명,공포일자,공포번호,시행일자,법령구분코드,법령구분명,법령분야코드,법령분야명
28,232893,1450000,산업통상자원부,010593,가맹사업 진흥에 관한 법률,20210615,제18267호,20211216,A0002,법률,28020000,第2章 中小企業
29,232959,1492000,고용노동부,014099,가사근로자의 고용개선 등에 관한 법률,20210615,제18285호,20220616,A0002,법률,40030000,第3章 勤勞基準
30,249997,1270000,법무부,001206,가사소송법,20230418,제19354호,20231019,A0002,법률,08030200,第2節 家事訴訟·非訟事件
31,260801,1721000,과학기술정보통신부,014626,가상융합산업 진흥법,20240227,제20352호,20240828,A0002,법률,18020000,第2章 科學技術振興
32,261099,1160100,금융위원회,014474,가상자산 이용자 보호 등에 관한 법률,20240312,제20372호,20240719,A0002,법률,23070000,第7章 證券·資本市場
33,215909,1480000,환경부,012804,가습기살균제 피해구제를 위한 특별법,20200324,제17102호,20200925,A0002,법률,39020000,第2章 環境保全
34,270885,1383000,여성가족부,000182,가정폭력방지 및 피해자보호 등에 관한 법률,20250429,제20953호,20250429,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
35,245971,1270000,법무부,001132,가정폭력범죄의 처벌 등에 관한 특례법,20221213,제19068호,20230614,A0002,법률,09010000,第1章 刑 法
36,257203,1270000,법무부,010444,가족관계의 등록 등에 관한 법률,20231226,제19841호,20241227,A0002,법률,08060000,第6章 家族關係登錄
37,219135,1383000,여성가족부,010583,가족친화 사회환경의 조성 촉진에 관한 법률,20200609,제17438호,20201210,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
38,241933,1543000,농림축산식품부,010599,가축 및 축산물 이력관리에 관한 법률,20220426,제18853호,20230427,A0002,법률,25020000,第2章 畜産振興
39,254071,1480000,환경부,010297,가축분뇨의 관리 및 이용에 관한 법률,20230816,제19656호,20240101,A0002,법률,39030000,第3章 廢棄物管理
40,254835,1543000,농림축산식품부,001504,가축전염병 예방법,20230914,제19706호,20240915,A0002,법률,25040000,第4章 家畜衛生·畜産物檢査
41,269695,9740000,대법원,001709,각급 법원의 설치와 관할구역에 관한 법률,20250306,제20772호,20250306,A0002,법률,06010000,第1章 組 織
42,268137,9740000,대법원,001300,각급 법원 판사 정원법,20250107,제20659호,20250107,A0002,법률,06010000,第1章 組 織
43,258089,1613000,국토교통부,012071,간선급행버스체계의 건설 및 운영에 관한 특별법,20240109,제19966호,20240710,A0002,법률,41020000,第2章 交通安全·交通整備
44,252833,1543000,농림축산식품부,011522,간척지의 농어업적 이용 및 관리에 관한 법률,20230725,제19571호,20230725,A0002,법률,24020000,第2章 農 地
45,265413,1352000,보건복지부,014736,간호법,20240920,제20445호,20250621,A0002,법률,36030000,第3章 醫事·血液管理
46,222549,1040000,감사원,001372,감사원법,20201020,제17560호,20201020,A0002,법률,19010100,第1節 監査院
47,267371,1352000 1790387,"보건복지부,질병관리청",001792,감염병의 예방 및 관리에 관한 법률,20241220,제20583호,20250621,A0002,법률,36020300,第3節 豫防保健
48,250715,1613000,국토교통부,012481,감정평가 및 감정평가사에 관한 법률,20230509,제19403호,20230810,A0002,법률,35030000,第3章 土地·測量
49,251413,1741000,행정안전부,014291,강원특별자치도 설치 및 미래산업글로벌도시 조성을 위한 특별법,20230607,제19427호,20240608,A0002,법률,10020100,第1節 通 則
50,254039,1400000,산림청,014492,개발도상국 산림을 통한 온실가스 배출 감축 및 탄소 축적 증진 지원에 관한 법률,20230816,제19636호,20240217,A0002,법률,26010000,第1章 行政組織·通則
51,251519,1613000,국토교통부,001829,개발이익 환수에 관한 법률,20230609,제19430호,20230710,A0002,법률,35030000,第3章 土地·測量
52,254803,1613000,국토교통부,002018,개발제한구역의 지정 및 관리에 관한 특별조치법,20230914,제19702호,20240915,A0002,법률,33030100,第1節 都市計劃
53,267539,1051000,기획재정부,001570,개별소비세법,20241231,제20606호,20250401,A0002,법률,20040000,第4章 間接稅
54,251523,1250000,통일부,010451,개성공업지구 지원에 관한 법률,20230609,제19430호,20230710,A0002,법률,01020100,第1節 國土·統一
55,259651,1543000,농림축산식품부,014612,개의 식용 목적의 사육ㆍ도살 및 유통 등 종식에 관한 특별법,20240206,제20195호,20240807,A0002,법률,25020000,第2章 畜産振興
56,260897,1160100,금융위원회,014591,개인금융채권의 관리 및 개인금융채무자의 보호에 관한 법률,20240227,제20369호,20241017,A0002,법률,08010000,第1章 民 法
57,248613,1790365,개인정보보호위원회,011357,개인정보 보호법,20230314,제19234호,20250313,A0002,법률,04020000,第2章 行政作用一般
58,253413,1192000,해양수산부,013246,갯벌 및 그 주변지역의 지속가능한 관리와 복원에 관한 법률,20230808,제19590호,20240517,A0002,법률,42080000,제8장 해양공간ㆍ연안관리
59,149559,1290000 1741000,"국방부,행정안전부",001177,거창사건등 관련자의 명예회복에 관한 특별조치법,20140107,제12200호,20140107,A0002,법률,08010000,第1章 民 法
60,261457,1383000,여성가족부,009682,건강가정기본법,20240326,제20417호,20240927,A0002,법률,38070000,第7章 家庭儀禮
61,220873,1352000 1790387,"보건복지부,질병관리청",010708,건강검진기본법,20200811,제17472호,20200912,A0002,법률,36020300,第3節 豫防保健
62,259283,1471000,식품의약품안전처,009353,건강기능식품에 관한 법률,20240123,제20138호,20250103,A0002,법률,36020100,第1節 食品衛生
63,195219,1613000,국토교통부,000099,건널목 개량촉진법,20170726,제14839호,20170726,A0002,법률,41030200,第2節 鐵道管理
64,234693,1492000,고용노동부,000120,건설근로자의 고용개선 등에 관한 법률,20210817,제18425호,20220218,A0002,법률,40050000,第5章 雇 傭
65,250011,1613000,국토교통부,000239,건설기계관리법,20230418,제19365호,20231019,A0002,법률,35040200,第2節 建設機械管理
66,258107,1613000,국토교통부,001807,건설기술 진흥법,20240109,제19967호,20240710,A0002,법률,35040100,第1節 建設業
67,253515,1613000,국토교통부,001808,건설산업기본법,20230808,제19591호,20240517,A0002,법률,35040100,第1節 建設業
68,254895,1480000 1613000,"국토교통부,환경부",009592,건설폐기물의 재활용촉진에 관한 법률,20230914,제19718호,20240315,A0002,법률,39030000,第3章 廢棄物管理
69,122701,1383000,여성가족부,001962,건전가정의례의 정착 및 지원에 관한 법률,20120201,제11282호,20120201,A0002,법률,38070000,第7章 家庭儀禮
70,234315,1613000,국토교통부,010594,건축기본법,20210727,제18339호,20211028,A0002,법률,34030000,第3章 建 築
71,266691,1613000,국토교통부,013478,건축물관리법,20241203,제20549호,20250604,A0002,법률,34030000,第3章 建 築
72,214377,1613000,국토교통부,009760,건축물의 분양에 관한 법률,20200218,제17007호,20210101,A0002,법률,34030000,第3章 建 築
73,261475,1613000,국토교통부,001823,건축법,20240326,제20424호,20240627,A0002,법률,34030000,第3章 建 築
74,240077,1613000,국토교통부,000254,건축사법,20220203,제18826호,20220804,A0002,법률,34030000,第3章 建 築
75,258473,1613000,국토교통부,011868,건축서비스산업 진흥법,20240109,제19990호,20240710,A0002,법률,35040000,第4章 建設業·建設機械管理
76,121947,1270000,법무부,001282,검사의 보수에 관한 법률,20120117,제11152호,20120117,A0002,법률,07020100,第1節 人事·服務
77,166367,1270000,법무부,001284,검사정원법,20141231,제12952호,20141231,A0002,법률,07010200,第2節 檢察廳
78,271559,1270000,법무부,001281,검사징계법,20250610,제20987호,20250610,A0002,법률,07020100,第1節 人事·服務
79,260559,1790387,질병관리청,001790,검역법,20240220,제20323호,20240521,A0002,법률,36020400,第4節 檢 疫
80,242095,1270000,법무부,001286,검찰청법,20220509,제18861호,20220910,A0002,법률,07010200,第2節 檢察廳
81,265811,1371000,문화체육관광부,010196,게임산업진흥에 관한 법률,20241022,제20485호,20250423,A0002,법률,17020000,第2章 文化·藝術
82,238041,1250000,통일부,010432,겨레말큰사전남북공동편찬사업회법,20211221,제18595호,20211221,A0002,법률,01020100,第1節 國土·統一
83,265323,1790387,질병관리청,001791,결핵예방법,20240920,제20449호,20250321,A0002,법률,36020300,第3節 豫防保健
84,270887,1383000,여성가족부,010586,결혼중개업의 관리에 관한 법률,20250429,제20953호,20250429,A0002,법률,38070000,第7章 家庭儀禮
85,202662,1613000,국토교통부,010447,경관법,20180313,제15460호,20190314,A0002,법률,34030000,第3章 建 築
86,253533,1371000,문화체육관광부,000813,경륜ㆍ경정법,20230808,제19592호,20230808,A0002,법률,16070000,第7章 體育·靑少年育成
87,198226,1320000 1532000,"경찰청,해양경찰청",001674,경범죄 처벌법,20171024,제14908호,20171024,A0002,법률,09010000,第1章 刑 法
88,183520,1270000,법무부,012557,경비교도대 폐지에 따른 보상 등에 관한 법률,20160529,제14170호,20161130,A0002,법률,07010100,第1節 法務部
89,268091,1320000,경찰청,000980,경비업법,20250107,제20645호,20250131,A0002,법률,11040000,第4章 警備·防護
90,247229,1741000,행정안전부,014378,경상북도와 대구광역시 간 관할구역 변경에 관한 법률,20230103,제19155호,20230701,A0002,법률,10020100,第1節 通 則
91,261201,1421000,중소벤처기업부,013736,경영지도사 및 기술지도사에 관한 법률,20240319,제20397호,20240319,A0002,법률,28020000,第2章 中小企業
92,200173,1051000,기획재정부,010908,경제교육지원법,20171226,제15283호,20171226,A0002,법률,19010200,第2節 企劃財政部
93,228177,1492000,고용노동부,001977,경제사회노동위원회법,20210105,제17864호,20210706,A0002,법률,40010000,第1章 行政組織·通則
94,257271,1051000,기획재정부,014551,경제안보를 위한 공급망 안정화 지원 기본법,20231226,제19828호,20240627,A0002,법률,19090100,第1節 物價·公正去來·消費者保護
95,230353,1342000,교육부,009936,경제자유구역 및 제주국제자유도시의 외국교육기관 설립ㆍ운영에 관한 특별법,20210323,제17954호,20210323,A0002,법률,16020100,第1節 通 則
96,265839,1450000,산업통상자원부,009411,경제자유구역의 지정 및 운영에 관한 특별법,20241022,제20483호,20250423,A0002,법률,23090000,第9章 金融支援등
97,268093,1320000 1532000,"경찰청,해양경찰청",001643,경찰공무원법,20250107,제20646호,20250107,A0002,법률,11030100,第1節 通 則
98,260447,1320000 1532000,"경찰청,해양경찰청",011558,경찰공무원 보건안전 및 복지 기본법,20240220,제20313호,20240220,A0002,법률,11030300,第3節 服務·敎育訓練
99,260237,1320000,경찰청,000987,경찰공제회법,20240213,제20268호,20240514,A0002,법률,11030100,第1節 通 則
100,261089,1320000,경찰청,000985,경찰관 직무집행법,20240319,제20374호,20240920,A0002,법률,11020000,第2章 警察職務
101,224453,1320000,경찰청,000990,경찰대학 설치법,20201222,제17689호,20210101,A0002,법률,11010000,第1章 行政組織·通則
102,224455,1320000,경찰청,012199,경찰제복 및 경찰장비의 규제에 관한 법률,20201222,제17689호,20210101,A0002,법률,11010000,第1章 行政組織·通則
103,224457,1320000,경찰청,000984,경찰직무 응원법,20201222,제17689호,20210101,A0002,법률,11020000,第2章 警察職務
104,258065,1450000,산업통상자원부,001457,계량에 관한 법률,20240109,제19953호,20240710,A0002,법률,29040000,第4章 計 量
105,195055,1290000,국방부,000921,계엄법,20170726,제14839호,20170726,A0002,법률,13070000,第7章 戒嚴·統合方位·徵發
106,254805,1833100,국가유산청,009671,고도 보존 및 육성에 관한 특별법,20230914,제19702호,20240915,A0002,법률,17030000,第3章 文化財
107,254853,1352000,보건복지부,013719,고독사 예방 및 관리에 관한 법률,20230914,제19716호,20240315,A0002,법률,36020300,第3節 豫防保健
108,267347,1342000,교육부,000899,고등교육법,20241220,제20561호,20250621,A0002,법률,16020100,第1節 通 則
109,247475,1342000,교육부,014385,고등ㆍ평생교육지원특별회계법,20221231,제19202호,20230101,A0002,법률,16020700,第7節 敎育財政
110,248485,1832000,재외동포청,011202,고려인동포 합법적 체류자격 취득 및 정착 지원을 위한 특별법,20230304,제19228호,20230605,A0002,법률,44040000,第4章 在外國民
111,234671,1352000,보건복지부,010358,고령친화산업 진흥법,20210817,제18410호,20220218,A0002,법률,38050000,第5章 兒童·老人·障碍者·母子福祉
112,232897,1450000,산업통상자원부,001850,고압가스 안전관리법,20210615,제18269호,20211216,A0002,법률,32030000,第3章 가 스
113,268567,1830000,국가보훈부,001327,고엽제후유의증 등 환자지원 및 단체설립에 관한 법률,20250121,제20683호,20250422,A0002,법률,15020000,第2章 國家報勳
114,247481,1492000,고용노동부,009589,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률,20221231,제19209호,20240101,A0002,법률,40070000,第7章 勞動保險·福祉
115,265957,1492000,고용노동부,001761,고용보험법,20241022,제20519호,20250223,A0002,법률,40070000,第7章 勞動保險·福祉
116,91137,1492000,고용노동부,010900,고용보험ㆍ산업재해보상보험의 보험관계 성립신고 등의 촉진을 위한 특별조치법,20090107,제9336호,20090107,A0002,법률,40070000,第7章 勞動保險·福祉
117,243057,1492000,고용노동부,000121,고용상 연령차별금지 및 고령자고용촉진에 관한 법률,20220610,제18921호,20220610,A0002,법률,40050000,第5章 雇 傭
118,258087,1492000,고용노동부,000123,고용정책 기본법,20240109,제19965호,20240109,A0002,법률,40050000,第5章 雇 傭
119,268893,1790364,고위공직자범죄수사처,013650,고위공직자범죄수사처 설치 및 운영에 관한 법률,20250131,제20770호,20250131,A0002,법률,07010300,제3절 고위공직자 범죄수사처
120,260449,1741000,행정안전부,014170,고향사랑 기부금에 관한 법률,20240220,제20314호,20250101,A0002,법률,10020200,第2節 地方行政一般
121,206325,1543000,농림축산식품부,011155,곤충산업의 육성 및 지원에 관한 법률,20181231,제16116호,20190701,A0002,법률,24050100,第1節 通 則
122,257709,1613000,국토교통부,000240,골재채취법,20240102,제19910호,20250103,A0002,법률,35040100,第1節 建設業
123,258475,1613000,국토교통부,010914,공간정보산업 진흥법,20240109,제19990호,20240710,A0002,법률,35030000,第3章 土地·測量
124,260609,1613000,국토교통부,011023,공간정보의 구축 및 관리 등에 관한 법률,20240220,제20341호,20250221,A0002,법률,35030000,第3章 土地·測量
125,228501,1040000,감사원,011170,공공감사에 관한 법률,20210112,제17893호,20220113,A0002,법률,19010100,第1節 監査院
126,261381,1051000,기획재정부,010375,공공기관의 운영에 관한 법률,20240326,제20400호,20240927,A0002,법률,19070000,第7章 政府投資機關管理
127,251019,1741000,행정안전부,001357,공공기관의 정보공개에 관한 법률,20230516,제19408호,20231117,A0002,법률,04020000,第2章 行政作用一般
128,260457,1741000,행정안전부,001963,공공기록물 관리에 관한 법률,20240213,제20309호,20240517,A0002,법률,04030100,第1節 文 書
129,259441,9760000,중앙선거관리위원회,012073,공공단체등 위탁선거에 관한 법률,20240130,제20179호,20240731,A0002,법률,03010000,第1章 選擧管理委員會
130,251023,1741000,행정안전부,011895,공공데이터의 제공 및 이용 활성화에 관한 법률,20230516,제19408호,20231117,A0002,법률,04020000,第2章 行政作用一般
131,265861,1371000,문화체육관광부,012496,공공디자인의 진흥에 관한 법률,20241022,제20486호,20250423,A0002,법률,17020000,第2章 文化·藝術
132,242991,1352000,보건복지부,002019,공공보건의료에 관한 법률,20220610,제18897호,20230611,A0002,법률,36010000,第1章 行政組織·通則
133,249267,1262000,외교부,012495,공공외교법,20230328,제19272호,20230629,A0002,법률,44060000,第6章 國際協力
134,216103,1051000,기획재정부,000710,공공자금관리기금법,20200331,제17129호,20200331,A0002,법률,19020200,第2節 特別會計·基金
135,261479,1140100,국민권익위원회,013463,공공재정 부정청구 금지 및 부정이익 환수 등에 관한 법률,20240326,제20426호,20240927,A0002,법률,04020000,第2章 行政作用一般
136,268887,1613000,국토교통부,009595,공공주택 특별법,20250131,제20754호,20250131,A0002,법률,34020000,第2章 住 宅
137,218661,1051000,기획재정부,000665,공공차관의 도입 및 관리에 관한 법률,20200609,제17339호,20200609,A0002,법률,19090200,第2節 外資導入·管理
138,219217,1613000,국토교통부,010915,공공토지의 비축에 관한 법률,20200609,제17453호,20200609,A0002,법률,35030000,第3章 土地·測量
139,261179,1480000,환경부,013783,공공폐자원관리시설의 설치ㆍ운영 및 주민지원 등에 관한 특별법,20240319,제20385호,20250101,A0002,법률,39030000,第3章 廢棄物管理
140,268711,1342000,교육부,012017,공교육 정상화 촉진 및 선행교육 규제에 관한 특별법,20250131,제20722호,20250131,A0002,법률,16020100,第1節 通 則
141,242099,1270000,법무부,014273,공군 20전투비행단 이예람 중사 사망 사건 관련 군 내 성폭력 및 2차 피해 등의 진상규명을 위한 특별검사 임명 등에 관한 법률,20220509,제18861호,20220910,A0002,법률,13080000,第8章 軍法·軍事法院
142,192430,1290000,국방부,000945,공군항공과학고등학교 설치법,20170321,제14609호,20170622,A0002,법률,13010000,第1章 行政組織·通則
143,216107,1051000,기획재정부,000690,공기업의 경영구조개선 및 민영화에 관한 법률,20200331,제17131호,20200331,A0002,법률,19030000,第3章 國有財産
144,261181,1613000,국토교통부,012345,공동주택관리법,20240319,제20385호,20250101,A0002,법률,34020000,第2章 住 宅
145,228479,1741000 1760000,"인사혁신처,행정안전부",013986,공무원 노동조합 관련 해직공무원등의 복직 등에 관한 특별법,20210112,제17889호,20210413,A0002,법률,05010000,第1章 通 則
146,215973,1270000,법무부,001126,공무원범죄에 관한 몰수 특례법,20200324,제17113호,20210325,A0002,법률,09010000,第1章 刑 法
147,252247,1760000,인사혁신처,001717,공무원연금법,20230630,제19513호,20230630,A0002,법률,05060000,第6章 年 金
148,243037,1492000,고용노동부,009884,공무원의 노동조합 설립 및 운영 등에 관한 법률,20220610,제18922호,20231211,A0002,법률,40020000,第2章 勞 政
149,245371,1760000,인사혁신처,001343,공무원 인재개발법,20221115,제19062호,20221115,A0002,법률,05040000,第4章 服務·能率·敎育訓練
150,261163,1760000,인사혁신처,013099,공무원 재해보상법,20240319,제20399호,20250320,A0002,법률,05060000,第6章 年 金
151,241913,1741000,행정안전부,001344,공무원직장협의회의 설립ㆍ운영에 관한 법률,20220426,제18844호,20221027,A0002,법률,05040000,第4章 服務·能率·敎育訓練
152,230205,1613000,국토교통부,011858,공사중단 장기방치 건축물의 정비 등에 관한 특별조치법,20210316,제17941호,20220317,A0002,법률,34030000,第3章 建 築
153,265897,1371000,문화체육관광부,001613,공연법,20241022,제20487호,20250423,A0002,법률,17020000,第2章 文化·藝術
154,171102,1371000,문화체육관광부,012292,공예문화산업 진흥법,20150518,제13299호,20151119,A0002,법률,17020000,第2章 文化·藝術
155,252873,1192000,해양수산부,011186,공유수면 관리 및 매립에 관한 법률,20230725,제19573호,20240126,A0002,법률,35020300,第3節 公有水面
156,258477,1741000,행정안전부,010000,공유재산 및 물품 관리법,20240109,제19990호,20240710,A0002,법률,10040100,第1節 地方財政
157,182009,1270000,법무부,001283,공익법무관에 관한 법률,20160329,제14102호,20160329,A0002,법률,07010100,第1節 法務部
158,199494,1270000,법무부,001263,공익법인의 설립ㆍ운영에 관한 법률,20171212,제15149호,20171212,A0002,법률,08010000,第1章 民 法
159,265491,1613000,국토교통부,009295,공익사업을 위한 토지 등의 취득 및 보상에 관한 법률,20240920,제20452호,20240920,A0002,법률,35030000,第3章 土地·測量
160,268285,1140100,국민권익위원회,011358,공익신고자 보호법,20250121,제20712호,20250121,A0002,법률,04020000,第2章 行政作用一般
161,198547,1270000,법무부,012018,공익신탁법,20171031,제15022호,20181101,A0002,법률,08010000,第1章 民 法
162,243059,1492000,고용노동부,000134,공인노무사법,20220610,제18923호,20221211,A0002,법률,40010000,第1章 行政組織·通則
163,257205,1613000,국토교통부,001654,공인중개사법,20231226,제19841호,20241227,A0002,법률,10020200,第2節 地方行政一般
164,258791,1160100,금융위원회,001592,공인회계사법,20240116,제20055호,20240116,A0002,법률,19080000,第8章 公認會計士
165,265379,1270000,법무부,001256,공장 및 광업재단 저당법,20240920,제20435호,20250131,A0002,법률,08010000,第1章 民 法
166,211643,1160100,금융위원회,009156,공적자금관리 특별법,20191126,제16652호,20191126,A0002,법률,23040000,第4章 金融機關·金融業
167,211645,1160100,금융위원회,009396,공적자금상환기금법,20191126,제16652호,20191126,A0002,법률,19020200,第2節 特別會計·基金
168,254775,1160100,금융위원회,010588,공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률,20230914,제19700호,20230914,A0002,법률,23090000,第9章 金融支援등
169,214129,1543000,농림축산식품부,010179,공중방역수의사에 관한 법률,20200211,제16962호,20200211,A0002,법률,25040000,第4章 家畜衛生·畜産物檢査
170,260035,1471000,식품의약품안전처,014033,공중보건 위기대응 의료제품의 개발 촉진 및 긴급 공급을 위한 특별법,20240206,제20244호,20240807,A0002,법률,36020300,第3節 豫防保健
171,265457,1352000,보건복지부,000216,공중보건장학을 위한 특례법,20240920,제20445호,20250621,A0002,법률,36030000,第3章 醫事·血液管理
172,265873,1352000,보건복지부,001964,공중위생관리법,20241022,제20504호,20250423,A0002,법률,36020200,第2節 公衆衛生
173,234021,1741000,행정안전부,009625,공중화장실 등에 관한 법률,20210720,제18302호,20230721,A0002,법률,10020200,第2節 地方行政一般
174,199495,1270000,법무부,001275,공증인법,20171212,제15150호,20180620,A0002,법률,07030000,第3章 辯護士·公證人
175,270353,9760000,중앙선거관리위원회,001725,공직선거법,20250401,제20902호,20250401,A0002,법률,03020000,第2章 選擧·國民投票
176,245981,1290000 1300000,"국방부,병무청",001965,공직자 등의 병역사항 신고 및 공개에 관한 법률,20221213,제19072호,20230614,A0002,법률,14020000,第2章 兵 務
177,252733,1760000,인사혁신처,001718,공직자윤리법,20230718,제19563호,20240719,A0002,법률,05010000,第1章 通 則
178,232253,1140100,국민권익위원회,014082,공직자의 이해충돌 방지법,20210518,제18191호,20220519,A0002,법률,05010000,第1章 通 則
179,265771,1270000,법무부,001212,공탁법,20241016,제20458호,20250117,A0002,법률,08050000,第5章 供 託
180,261147,1613000,국토교통부,011171,공항소음 방지 및 소음대책지역 지원에 관한 법률,20240319,제20389호,20240920,A0002,법률,41080000,第8章 航 空
181,260415,1613000,국토교통부,012522,공항시설법,20240213,제20291호,20240814,A0002,법률,41080000,第8章 航 空
182,233829,1492000 1760000,"고용노동부,인사혁신처",014112,공휴일에 관한 법률,20210707,제18291호,20220101,A0002,법률,40010000,第1章 行政組織·通則
183,267525,1051000,기획재정부,001966,과세자료의 제출 및 관리에 관한 법률,20241231,제20607호,20250101,A0002,법률,20020000,第2章 租稅通則
184,265829,1721000,과학기술정보통신부,000767,과학관의 설립ㆍ운영 및 육성에 관한 법률,20241022,제20469호,20250423,A0002,법률,18020000,第2章 科學技術振興
185,258479,1721000,과학기술정보통신부,009177,과학기술기본법,20240109,제19990호,20240710,A0002,법률,18020000,第2章 科學技術振興
186,255637,1721000,과학기술정보통신부,009761,과학기술분야 정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률,20231031,제19781호,20241101,A0002,법률,18020000,第2章 科學技術振興
187,201137,1721000,과학기술정보통신부,012418,과학기술유공자 예우 및 지원에 관한 법률,20180116,제15344호,20180417,A0002,법률,18020000,第2章 科學技術振興
188,231651,1721000,과학기술정보통신부,009401,과학기술인공제회법,20210420,제18070호,20210721,A0002,법률,18020000,第2章 科學技術振興
189,198221,1342000,교육부,000867,과학ㆍ수학ㆍ정보 교육 진흥법,20171024,제14903호,20180425,A0002,법률,16020800,第8節 敎育振興
190,259033,1371000,문화체육관광부,000086,관광기본법,20240123,제20075호,20240724,A0002,법률,41050000,第5章 觀 光
